COUNTY,Lat,Lng,Boys1,Girls1,Boys2,Girls2,Boys3,Girls3,Boys4,Girls4,Boys5,Girls5,Boys6,Girls6,Boys7,Girls7,Boys8,Girls8,
Baringo        ,0.66925198,35.94646535,10356,9281,9431,8555,9313,8681,10201,9551,9383,9188,9551,9424,9865,9815,7484,7265,147344
Bomet          ,-0.726294583,35.29859759,16480,15313,15837,14553,15648,14780,15747,14865,14507,14557,14450,14657,15725,16342,10872,10983,235316
Bungoma        ,0.74928524,34.64046088,33985,34329,33855,34135,34695,34414,34749,35206,33876,34410,34084,34546,33430,34879,19176,19593,519362
Busia          ,0.387443678,34.19363149,18613,18428,17737,17653,17574,17200,17235,17729,16427,17150,15802,16481,14241,14680,9169,8889,255008
Elgeyo Marakwet,0.802218811,35.53656315,8071,7496,7664,7255,7519,7233,7856,7698,7599,7583,8041,8228,8064,8700,5662,5950,120619
Embu           ,-0.603974378,37.62650133,7815,7148,7950,7119,8110,7487,8352,7874,8084,8042,7833,8518,7659,8687,6002,6561,123241
Garissa        ,-0.488910345,40.19927854,15781,11744,14085,9917,11887,7837,8679,5133,7439,4389,7106,4030,5759,3199,5025,2493,124503
Homa Bay       ,-0.542809394,34.35899687,22084,21892,22183,21700,21831,21946,22171,21706,21712,20957,21112,20481,19325,18030,13538,11827,322495
Isiolo         ,1.010443078,38.54215312,2989,2878,2635,2482,2506,2430,2298,2398,2165,2234,2060,2038,2048,1846,1514,1442,35963
Kajiado        ,-2.121383578,36.90884219,10851,10588,10762,10285,10925,10635,11492,10916,10327,9972,9572,9908,8807,8408,7540,7076,158064
Kakamega       ,0.403683464,34.74451115,39007,38572,38554,38121,38719,37398,37948,38537,35862,37039,34387,36779,30843,33130,20126,22085,557107
Kericho        ,-0.295732906,35.31407001,16138,14966,15688,14785,15383,14579,15612,15059,14718,14724,14662,14445,15008,15521,11618,12004,234910
Kiambu         ,-1.068706066,36.82356426,19582,18751,19802,19282,20452,19882,21709,20866,21372,20867,21223,21049,20901,21457,19498,20077,326770
Kilifi         ,-3.175732013,39.68668755,21029,19667,20031,19788,20257,19681,21199,20701,20019,20400,19547,19766,19044,18678,15715,14485,310007
Kirinyaga      ,-0.524746296,37.31986811,7057,6448,7013,6628,7177,6792,7722,7680,7717,7876,7814,8101,7651,8044,6117,6514,116351
