ID,Name,Latitude,Longitude,Photo_Name,Photo_Path,State,County,NBI_Structure_Number,Year_Built_Text,Year_Rehabilitated_Text,Year_Built,Year_Demolished,Type,Subtype,Recognition,Length_Main_Span_Total,Builder_Contractor,Year_Photographed,Notes,,
1890,41st Street Bridge,25.8134,-80.1247,FLMD_41stStreetIntracoastal.jpg,fl/miami-dade/,Florida,Miami-Dade,870055,1953,,1953,,Beam,Stringer Main Span; Concrete Girder Approach Spans,,261,,2007,,,
2338,Abandoned Elk River Bridge North of Dorfee,38.451308,-81.168848,WVCL_AbandonedPedSusNearElkhurstElkR.jpg,wv/clay/,West Virginia,Clay,N/A,Unknown,,,,Suspension,Swinging; pedestrian,,,,2008,"All that remains of the former pedestrian suspension bridge are the cables and towers. Just a few wood planks from the deck remain. The 1997 West Virginia Atlas and Gazetteer shows a dashed line starting from Dorfee Road in Dorfee running along the east bank of the Elk River and crossing this bridge. Dorfee, established in 1907, was a mining community. Since this bridge could only be a pedestrian bridge, could it have been part of some sort of trail to get to the mines? Suspension bridges such as these are more commonly privately-owned, connecting to the property on the other side of the waterway. It is important to note that the cables extend above Elkhurst Road and are anchored into the hillside. Would this be allowed for a privately-owned bridge? Maybe it would be more likely for a mining company than a landowner.",,
2199,Admiral T. Joseph Lopez Bridge (Chelyan Bridge),38.197783,-81.496464,WVKA_AdmiralLopezChelyan.jpg,wv/kanawha/,West Virginia,Kanawha,20A735,1997,,1997,,Thru Truss,Warren continuous truss,,594 / 2223,HDR Inc.,2005,"The 1997 Admiral Lopez Bridge replaced the former 1929 Chelyan Bridge. The Chelyan Bridge was a National Register-Eligible continuous Baltimore truss. Continuous truss bridges from before World War II are very rare. There is not another bridge like it anywhere in the region. At least the bridge was replaced by a modern continuous truss. HDR Inc. is a leader in modern truss bridges, designing Warren trusses with no verticals. The new bridge has an impressive 594 foot main span. Admiral Lopez was a distinguished Naval officer who has served as Commander in Chief of U.S. Naval Forces, Europe, and Commander in Chief Allied Forces, Southern Europe.",,
468,Aetnaville Bridge (Georgia Street Bridge),40.079984,-80.73675,OHBE_GeorgiaStBackChannelOhioR.jpg,oh/belmont/,Massachusetts,"Belmont, Ohio",,1891,,1891,,Thru Truss,Pennsylvania camelback pin-connected,,,,1996,The 1891 Aetnaville Bridge is the oldest vehicular truss bridge over the entire Ohio River. It is a rare Pennsylvania camelback truss. The bridge is also noteworthy for its decorative portal ironwork. The bridge was closed to traffic in 1988 but has functioned as a pedestrian bridge since then. Its future status is uncertain; the bridge may be demolished.,,
432,Aiken Street Bridge (Joseph Ouellette Bridge),42.654801,-71.315335,MAMI_AikenStJosephOuelletteLowell.jpg,ma/middlesex/,Massachusetts,Middlesex,L150202C0MUNNBI,1883,1998,1883,,Thru Truss,Lenticular pin-connected,"Longest lenticular truss bridge in America, Eligible for the National Register of Historic Places",155 / 780,Corrugated Metal Company (Berlin Iron Bridge Company),2007,"The Aiken Street Bridge (Joseph Ouellette Bridge) is the longest lenticular truss bridge in America (in total length of trusses). The bridge consists of five spans. It is the only remaining lenticular truss bridge in America with more than three spans. Like all of America's lenticular truss bridges (except for Pittsburgh's Smithfield Street Bridge), it was built by the Corrugated Metal Company, which became the Berlin Iron Bridge Company in 1883. The bridge is the second oldest lenticular truss in Massachusetts. The historically significant bridge was rehabilitated in 1998 and continues to carry traffic.",,
493,Aiken Street Northern Canal Bridge,42.650406,-71.319208,MAMI_AikenStCanalLowell.jpg,ma/middlesex/,Massachusetts,Middlesex,L150272C4MUNNBI,1897,2004,1897,,Beam,Inclined thru girder and floorbeam system,Eligible for the National Register of Historic Places,105,,2007,"Lowell's Northern Canal was constructed in 1848, completing the city's canal system. The Northern Canal and feeder were built to increase and regulate hydropower for the canal system. In 1897, the Aiken Street Bridge over the canal was replaced with the current bridge. It is a rare example of a steel thru girder in which the girder is thicker at mid-span than at the ends of the span.",,
3231,Akelson Bridge,40.403779,-80.339295,PAWA_Akelson.jpg,pa/washington/,Pennsylvania,Washington,627224050640110,1904,,1904,,Pony Truss,Pratt riveted,,50,Nelson & Buchanan Company,2006,"The Akelson Bridge, dating from 1904, is one of several remaining similar Nelson & Buchanan truss bridges. The comparable bridges are either three or four panels; the Akelson Bridge is one of the longer four-panel designs. The Nelson & Buchanan bridges are noteworthy for being early riveted pony truss bridges in which each panel has an X shape. The Akelson Bridge has been strengthened by longitudinal floorbeams added below the floorbeams.",,
1055,Akerley Road Bridge,41.895753,-80.487779,PAER_AkerleyRdAshtabulaCr.jpg,pa/erie/,Pennsylvania,Erie,257203088340370,1930,1988,1930,,Pony Truss,"Pratt half-hip riveted, supported by load-bearing stringers and intermediate piers",,13 / 40,,2008,"The Akerley Road Bridge was constructed in 1930 as a 40-foot riveted half-hip Pratt pony truss. According to the PAHBI, ''According to PennDOT records, the original Pratt pony truss superstructure was replaced in 1988 by the addition of steel stringers and two concrete barrel piers. The Pratt trusses were kept as railings.''",,
1895,Albright Bridge,39.494735,-79.645214,WVPR_WV26CheatRAlbright.jpg,wv/preston/,West Virginia,Preston,39A051,1953,1988,1953,,Beam,Continuous stringer (girder),,98 / 255,,2002,"The Albright Bridge is a 1950's riveted steel stringer built on the masonry abutments of the previous bridge. It was rehabilitated in 1988, receiving a new deck and the standard West Virginia railings.",,
1889,Albright Power Station Bridge,39.490331,-79.639158,WVPR_AlbrightPowerStationBrCheatR.jpg,wv/preston/,West Virginia,Preston,,1952?,,1952,,Beam,Deck girder,,,,2002,"The Albright Power Station Bridge provides access to Allegheny Energy's Albright Power Station, a coal-fired power plant. The bridge crosses a dam in the Cheat River. It likely dates to the 1952 construction date of the power plant.",,
