CountyFIPS,County,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36,HC01_EST_VC37,HC01_EST_VC38,HC01_EST_VC39,HC01_EST_VC40,HC01_EST_VC41,HC01_EST_VC42,HC01_EST_VC43,HC01_EST_VC46,HC01_EST_VC47,HC01_EST_VC48,HC01_EST_VC49,HC01_EST_VC50,HC01_EST_VC51,HC01_EST_VC52,HC01_EST_VC53,HC01_EST_VC54,HC01_EST_VC55
01001,"Autauga County, Alabama",24290,96.3,89.2,7.1,0.1,0.8,0,1.1,1.6,99.1,36.7,62.4,0.9,20.5,52.7,23905,5.3,4.8,7.7,10.1,13.7,18.3,11.6,6.9,2.7,19,12,9.2,13.8,14.4,9.6,21.5,7.6,6.1,5.8,26.7
01003,"Baldwin County, Alabama",82134,94.1,84.1,10,0.2,1.1,0.4,0.9,3.3,92.8,71.9,20.9,7.2,17.4,35.6,79436,4.6,4.8,5.7,10.7,12,16.3,13.4,8,3.9,20.6,12,15.3,15.1,13.6,6,15.1,5.2,9.6,8.2,26.4
01005,"Barbour County, Alabama",9108,94.9,83.5,11.3,0.1,1.3,0.1,1.7,1.9,93.4,71.3,22,6.6,38.9,28.3,8934,6,4.1,7.5,13.4,14.5,12.6,10.8,4,2.8,24.5,20.8,15.9,13,9.6,4.4,14.2,6.1,8.1,7.9,24.4
01007,"Bibb County, Alabama",7773,96.9,84,12.9,0.5,0.7,0,0.6,1.3,99.8,42.8,57,0.2,10.5,33.8,7673,9.2,6.6,11.7,17.5,10.6,15.9,7.6,3,1,17,11.3,17.3,9.1,9.4,5.2,16.7,10.4,13.8,6.8,27
01009,"Blount County, Alabama",22168,95.9,85.1,10.8,0.3,0.9,0,0.5,2.3,99.2,34.1,65.1,0.8,7,25,21650,9,6.5,6.6,14.1,9.5,15,9.4,10.7,2.2,17,11.1,8.5,7.7,8.3,5.2,14.9,10.2,18.7,15.5,34.1
01011,"Bullock County, Alabama",3810,92.7,77.7,15,0.9,4.8,0,0.6,0.9,99,63.8,35.2,1,29.3,15.9,3776,10.8,3.6,6.8,6.7,9.1,12.4,14.8,8.3,1.3,26.3,20.1,11.2,9.7,11.1,2.3,18.2,5,7.9,14.4,28.4
01013,"Butler County, Alabama",7661,96.3,86.4,9.9,0,0.9,0,1.2,1.6,98.7,72.7,26,1.3,31.7,18.1,7538,8,5.8,8.3,9,11.4,16.9,12.5,6,1.5,20.6,16.9,19,15.6,10.9,2.1,11.3,3.9,10.9,9.3,24.7
01015,"Calhoun County, Alabama",45348,94.6,85.5,9.2,0.3,1.4,0.1,1.3,2.4,97.5,80,17.5,2.5,21,50,44264,8.9,6.9,7.7,10.2,9.9,11.8,11.6,5.7,3.6,23.6,16.4,14.7,16.2,14.7,8,13,5.4,6.5,5.1,22.9
01017,"Chambers County, Alabama",13086,97.1,85.9,11.2,0.1,0.5,0,0.3,2.1,69.7,40.6,29.1,30.3,13.8,53.3,12812,5,4.9,5.3,11.8,9.7,12.7,13.1,10.8,4.6,22,8,13.8,23.7,13.7,4.7,17.5,4.9,7.7,6,25.2
01019,"Cherokee County, Alabama",10177,95.8,85.7,10.1,0.1,0.6,0,1.1,2.4,72.4,50.8,21.7,27.6,9.1,18.9,9937,9.4,8.4,9.9,11.6,10.9,16,7.8,5.5,2,18.5,18,12.3,12.3,8.3,3.9,14.9,12,9.1,9.2,26.7
