CountyFIPS,County,HC01_EST_VC55
1001,"Autauga County, Alabama",26.7
1003,"Baldwin County, Alabama",26.4
1005,"Barbour County, Alabama",24.4
1007,"Bibb County, Alabama",27
1009,"Blount County, Alabama",34.1
1011,"Bullock County, Alabama",28.4
1013,"Butler County, Alabama",24.7
1015,"Calhoun County, Alabama",22.9
1017,"Chambers County, Alabama",25.2
1019,"Cherokee County, Alabama",26.7
1021,"Chilton County, Alabama",32.1
1023,"Choctaw County, Alabama",31.8
1025,"Clarke County, Alabama",23.2
1027,"Clay County, Alabama",29.4
1029,"Cleburne County, Alabama",33
1031,"Coffee County, Alabama",21
1033,"Colbert County, Alabama",23.1
1035,"Conecuh County, Alabama",27.7
1037,"Coosa County, Alabama",28.3
1039,"Covington County, Alabama",24
1041,"Crenshaw County, Alabama",28.5
1043,"Cullman County, Alabama",26.4
1045,"Dale County, Alabama",20.2
1047,"Dallas County, Alabama",22.6
1049,"DeKalb County, Alabama",23.1
1051,"Elmore County, Alabama",28.6
1053,"Escambia County, Alabama",24
1055,"Etowah County, Alabama",23.8
1057,"Fayette County, Alabama",29.5
1059,"Franklin County, Alabama",27.6
1061,"Geneva County, Alabama",26.2
1063,"Greene County, Alabama",30.4
1065,"Hale County, Alabama",29
1067,"Henry County, Alabama",25.6
1069,"Houston County, Alabama",20.9
1071,"Jackson County, Alabama",25.9
1073,"Jefferson County, Alabama",23.4
1075,"Lamar County, Alabama",24.7
1077,"Lauderdale County, Alabama",24.6
1079,"Lawrence County, Alabama",27.6
1081,"Lee County, Alabama",21.5
1083,"Limestone County, Alabama",25.8
1085,"Lowndes County, Alabama",30.7
1087,"Macon County, Alabama",21.7
1089,"Madison County, Alabama",20.8
1091,"Marengo County, Alabama",23.4
1093,"Marion County, Alabama",24.2
1095,"Marshall County, Alabama",23.9
1097,"Mobile County, Alabama",24.1
1099,"Monroe County, Alabama",25.3
1101,"Montgomery County, Alabama",19.5
1103,"Morgan County, Alabama",23.8
1105,"Perry County, Alabama",26.7
1107,"Pickens County, Alabama",31
1109,"Pike County, Alabama",19
1111,"Randolph County, Alabama",27.6
1113,"Russell County, Alabama",23.9
1115,"St. Clair County, Alabama",30.2
1117,"Shelby County, Alabama",28.9
1119,"Sumter County, Alabama",22.8
1121,"Talladega County, Alabama",24
1123,"Tallapoosa County, Alabama",24.4
1125,"Tuscaloosa County, Alabama",21.9
1127,"Walker County, Alabama",29.3
1129,"Washington County, Alabama",32.3
1131,"Wilcox County, Alabama",22
1133,"Winston County, Alabama",27.7
2013,"Aleutians East Borough, Alaska",4.6
2016,"Aleutians West Census Area, Alaska",6.4
2020,"Anchorage Municipality, Alaska",19.4
2050,"Bethel Census Area, Alaska",7.4
2060,"Bristol Bay Borough, Alaska",11.1
2068,"Denali Borough, Alaska",16.8
2070,"Dillingham Census Area, Alaska",9
2090,"Fairbanks North Star Borough, Alaska",19.4
2100,"Haines Borough, Alaska",10.4
2105,"Hoonah-Angoon Census Area, Alaska",9.9
2110,"Juneau City and Borough, Alaska",14.8
2122,"Kenai Peninsula Borough, Alaska",19.6
2130,"Ketchikan Gateway Borough, Alaska",13.3
2150,"Kodiak Island Borough, Alaska",10.8
2164,"Lake and Peninsula Borough, Alaska",5.8
2170,"Matanuska-Susitna Borough, Alaska",33.6
2180,"Nome Census Area, Alaska",6.7
2185,"North Slope Borough, Alaska",8.7
2188,"Northwest Arctic Borough, Alaska",8
2195,"Petersburg Borough, Alaska",7.7
2198,"Prince of Wales-Hyder Census Area, Alaska",13.9
2220,"Sitka City and Borough, Alaska",12.6
2230,"Skagway Municipality, Alaska",5.6
2240,"Southeast Fairbanks Census Area, Alaska",12.4
2261,"Valdez-Cordova Census Area, Alaska",9.6
2270,"Wade Hampton Census Area, Alaska",5.7
2275,"Wrangell City and Borough, Alaska",7
2282,"Yakutat City and Borough, Alaska",5.2
2290,"Yukon-Koyukuk Census Area, Alaska",8.5
4001,"Apache County, Arizona",30.1
4003,"Cochise County, Arizona",18.9
4005,"Coconino County, Arizona",18.3
4007,"Gila County, Arizona",20.7
4009,"Graham County, Arizona",21.8
4011,"Greenlee County, Arizona",17.7
4012,"La Paz County, Arizona",12.1
4013,"Maricopa County, Arizona",25.4
4015,"Mohave County, Arizona",19.3
4017,"Navajo County, Arizona",22.6
4019,"Pima County, Arizona",24.2
4021,"Pinal County, Arizona",31.3
4023,"Santa Cruz County, Arizona",20.7
4025,"Yavapai County, Arizona",22.9
4027,"Yuma County, Arizona",19
5001,"Arkansas County, Arkansas",15.3
5003,"Ashley County, Arkansas",18.5
5005,"Baxter County, Arkansas",17.1
5007,"Benton County, Arkansas",19.9
5009,"Boone County, Arkansas",20.2
5011,"Bradley County, Arkansas",21.3
5013,"Calhoun County, Arkansas",25
5015,"Carroll County, Arkansas",19.6
5017,"Chicot County, Arkansas",19.8
5019,"Clark County, Arkansas",20.8
5021,"Clay County, Arkansas",22.5
5023,"Cleburne County, Arkansas",24.4
5025,"Cleveland County, Arkansas",28.6
5027,"Columbia County, Arkansas",17.4
5029,"Conway County, Arkansas",24.6
5031,"Craighead County, Arkansas",17.9
5033,"Crawford County, Arkansas",23
5035,"Crittenden County, Arkansas",21
5037,"Cross County, Arkansas",24.7
5039,"Dallas County, Arkansas",21.1
5041,"Desha County, Arkansas",20.4
5043,"Drew County, Arkansas",20.9
5045,"Faulkner County, Arkansas",24.1
5047,"Franklin County, Arkansas",26.6
5049,"Fulton County, Arkansas",26.2
5051,"Garland County, Arkansas",21.5
5053,"Grant County, Arkansas",30.9
5055,"Greene County, Arkansas",20.1
5057,"Hempstead County, Arkansas",19.5
5059,"Hot Spring County, Arkansas",26.5
5061,"Howard County, Arkansas",19.5
5063,"Independence County, Arkansas",19.5
5065,"Izard County, Arkansas",22.4
5067,"Jackson County, Arkansas",19.8
5069,"Jefferson County, Arkansas",21.2
5071,"Johnson County, Arkansas",20.3
5073,"Lafayette County, Arkansas",24.7
5075,"Lawrence County, Arkansas",23.6
5077,"Lee County, Arkansas",21.2
5079,"Lincoln County, Arkansas",25.4
5081,"Little River County, Arkansas",24.3
5083,"Logan County, Arkansas",26.3
5085,"Lonoke County, Arkansas",26.2
5087,"Madison County, Arkansas",31
5089,"Marion County, Arkansas",24.4
5091,"Miller County, Arkansas",19.8
5093,"Mississippi County, Arkansas",17.8
5095,"Monroe County, Arkansas",20.4
5097,"Montgomery County, Arkansas",28.1
5099,"Nevada County, Arkansas",26.6
5101,"Newton County, Arkansas",38.4
5103,"Ouachita County, Arkansas",22.7
5105,"Perry County, Arkansas",33.4
5107,"Phillips County, Arkansas",19
5109,"Pike County, Arkansas",26
5111,"Poinsett County, Arkansas",23.6
5113,"Polk County, Arkansas",21.1
5115,"Pope County, Arkansas",19.1
5117,"Prairie County, Arkansas",24.9
5119,"Pulaski County, Arkansas",19.9
5121,"Randolph County, Arkansas",27.9
5123,"St. Francis County, Arkansas",19.8
5125,"Saline County, Arkansas",25.5
5127,"Scott County, Arkansas",21.6
5129,"Searcy County, Arkansas",32.8
5131,"Sebastian County, Arkansas",17.7
5133,"Sevier County, Arkansas",22.3
5135,"Sharp County, Arkansas",27.9
5137,"Stone County, Arkansas",23.3
5139,"Union County, Arkansas",17.7
5141,"Van Buren County, Arkansas",27.7
5143,"Washington County, Arkansas",21
5145,"White County, Arkansas",23
5147,"Woodruff County, Arkansas",20.7
5149,"Yell County, Arkansas",20.6
6001,"Alameda County, California",29.5
6003,"Alpine County, California",25.9
6005,"Amador County, California",29.8
6007,"Butte County, California",20.1
6009,"Calaveras County, California",34.4
6011,"Colusa County, California",22.1
6013,"Contra Costa County, California",34.3
6015,"Del Norte County, California",13.8
6017,"El Dorado County, California",28.4
6019,"Fresno County, California",22.2
6021,"Glenn County, California",22.3
6023,"Humboldt County, California",17.5
6025,"Imperial County, California",21.5
6027,"Inyo County, California",14.2
6029,"Kern County, California",23.7
6031,"Kings County, California",21.1
6033,"Lake County, California",27.4
6035,"Lassen County, California",19.9
6037,"Los Angeles County, California",29.6
6039,"Madera County, California",25.6
6041,"Marin County, California",29.4
6043,"Mariposa County, California",31.6
6045,"Mendocino County, California",18.4
6047,"Merced County, California",26.3
6049,"Modoc County, California",15.1
6051,"Mono County, California",19.6
6053,"Monterey County, California",22.4
6055,"Napa County, California",23.6
6057,"Nevada County, California",24.9
6059,"Orange County, California",26.6
6061,"Placer County, California",27.3
6063,"Plumas County, California",22.6
6065,"Riverside County, California",32.1
6067,"Sacramento County, California",25.9
6069,"San Benito County, California",30.7
6071,"San Bernardino County, California",30.3
6073,"San Diego County, California",24.6
6075,"San Francisco County, California",31
